date,hour_local,SF07_min,SF08_min,SF09_min,SF10_min,SF11_min,SF12_min,loggers_with_data,logger_hours
2026-08-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,7,0.0,57.9,56.5,50.5,33.5,49.8,5,4.14
2026-08-31,8,0.0,59.7,60.0,60.0,0.0,60.0,4,3.99
2026-08-31,9,0.0,60.0,60.0,60.0,0.0,60.0,4,4.0
2026-08-31,10,0.0,60.0,60.0,60.0,0.0,60.0,4,4.0
2026-08-31,11,0.0,26.5,29.4,26.7,0.0,27.4,4,1.83
2026-08-31,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,18,1.5,0.0,0.0,0.0,0.0,0.0,1,0.03
2026-08-31,19,60.0,58.3,53.8,48.9,47.0,44.4,6,5.21
2026-08-31,20,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-08-31,21,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-08-31,22,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-08-31,23,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,0,59.6,59.8,59.7,59.5,59.8,59.8,6,5.97
2026-09-01,1,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,2,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,3,60.0,32.1,34.5,7.4,21.9,60.0,6,3.6
2026-09-01,4,60.0,0.0,0.0,0.0,0.0,57.6,2,1.96
2026-09-01,5,59.7,2.1,1.3,0.8,1.4,1.8,6,1.12
2026-09-01,6,36.4,0.0,0.0,0.0,0.0,0.0,1,0.61
2026-09-01,7,10.4,7.8,5.2,0.0,1.9,0.0,4,0.42
2026-09-01,8,60.0,60.0,60.0,58.9,60.0,56.4,6,5.92
2026-09-01,9,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,10,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,11,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,12,59.8,59.8,59.7,59.8,60.0,60.0,6,5.98
2026-09-01,13,60.0,28.3,60.0,60.0,59.6,59.8,6,5.46
2026-09-01,14,60.0,0.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-01,15,60.0,33.4,60.0,60.0,60.0,60.0,6,5.56
2026-09-01,16,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,17,59.8,59.8,59.7,59.8,59.8,59.7,6,5.98
2026-09-01,18,19.7,20.5,21.2,21.9,22.7,23.6,6,2.16
2026-09-01,19,31.4,29.5,27.1,24.7,22.7,6.0,6,2.36
2026-09-01,20,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,21,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,22,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-01,23,59.8,59.2,59.8,59.9,59.8,59.8,6,5.97
2026-09-02,0,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,1,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,2,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,3,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,4,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,5,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,6,59.9,59.8,59.8,60.0,59.8,59.8,6,5.98
2026-09-02,7,34.1,30.2,29.4,26.5,27.7,37.6,6,3.09
2026-09-02,8,37.1,33.6,30.5,27.9,25.1,22.8,6,2.95
2026-09-02,9,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,10,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,11,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,12,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,13,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,14,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,15,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,16,59.6,60.0,59.9,60.0,60.0,60.0,6,5.99
2026-09-02,17,60.0,60.0,60.0,59.9,59.8,60.0,6,5.99
2026-09-02,18,13.0,21.0,14.1,15.2,14.4,21.1,6,1.65
2026-09-02,19,59.8,57.8,56.0,53.3,51.6,49.8,6,5.47
2026-09-02,20,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,21,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,22,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-02,23,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-03,0,59.8,60.0,59.9,59.8,60.0,59.8,6,5.99
2026-09-03,1,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-03,2,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-03,3,60.0,60.0,60.0,60.0,60.0,60.0,6,6.0
2026-09-03,4,18.3,60.0,60.0,60.0,60.0,60.0,6,5.31
2026-09-03,5,0.0,60.0,60.0,59.9,59.8,60.0,5,5.0
2026-09-03,6,0.0,44.5,46.7,48.0,53.6,51.7,5,4.07
2026-09-03,7,0.0,7.0,3.7,1.3,0.1,0.1,5,0.2
2026-09-03,8,0.0,60.0,60.0,60.0,58.6,51.3,5,4.83
2026-09-03,9,0.0,60.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-03,10,0.0,60.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-03,11,0.0,60.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-03,12,0.0,60.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-03,13,0.0,60.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-03,14,0.0,60.0,60.0,60.0,60.0,60.0,5,5.0
2026-09-03,15,0.0,58.1,60.0,60.0,59.8,60.0,5,4.96
2026-09-03,16,0.0,24.7,39.7,53.1,5.7,55.5,5,2.98
2026-09-03,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,18,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,23,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
